acc_x,acc_y,acc_z,acc,acc1_x,acc1_y,acc1_z,acc2_x,acc2_y,acc2_z,acc_x_std,acc_y_std,acc_z_std,acc_std,acc1_x_std,acc1_y_std,acc1_z_std,acc2_x_std,acc2_y_std,acc2_z_std,acc_max,acc_min,acc_z_max,acc_z_min,acc_fft_sum,acc_fft_0,acc_fft_1,acc_fft_2,acc_fft_3,acc_fft_4,acc_fft_5,acc_fft_6,acc_fft_7,acc_fft_8,acc_fft_9,acc_fft_10,acc_fft_11,acc_fft_12,acc_fft_13,acc_fft_14,acc_fft_15,acc_fft_16,acc_z_fft_sum,acc_z_fft_0,acc_z_fft_1,acc_z_fft_2,acc_z_fft_3,acc_z_fft_4,acc_z_fft_5,acc_z_fft_6,acc_z_fft_7,acc_z_fft_8,acc_z_fft_9,acc_z_fft_10,acc_z_fft_11,acc_z_fft_12,acc_z_fft_13,acc_z_fft_14,acc_z_fft_15,acc_z_fft_16,label
4.067274129,-1.448309375,-0.656222266,7.107146895,11.2931501,-6.528838387,-1.887828066,0.493536617,-1.108589773,13.32712461,5.753177312,3.094428575,1.871875067,3.838992227,6.097075303,3.683717879,1.825898294,4.332334545,2.464011413,4.88647113,16.420357,0.440712,1.8919,-6.3585,20.42771918,14.21429379,0.2531458,1.010969475,0.782172308,1.174732216,3.916324963,0.738492223,2.358667582,0.515591978,0.756420365,1.429855165,0.384535835,0.842422602,0.302491063,0.509329989,0.313378719,0.132960863,12.25452663,1.312444531,0.139014913,0.713620941,0.424098409,0.314053938,0.963311811,0.211070574,1.548165018,0.522009082,0.847798369,0.551938526,0.304797625,0.599834425,0.351947427,0.37850216,0.387496177,0.411600045,0
3.891667516,-1.914508199,-0.510859375,7.049554453,11.60125401,-6.251260621,-1.653495512,-0.620261273,-0.882154313,13.45227195,5.45324699,3.334839355,1.629639283,3.590258436,5.87826648,3.675386584,1.656640738,4.156760119,2.179188044,4.801488139,15.866187,0.836794,2.0011,-5.6098,20.09926095,14.09910891,0.683268224,0.458072272,0.940444288,0.695343225,3.93093724,0.957936429,1.174630531,1.471993537,0.526285565,1.249334063,0.316365779,0.654658996,0.744711622,0.231791696,0.518576855,0.286531067,11.26400065,1.02171875,0.129041957,0.480532765,0.931733445,0.203155853,0.599641731,0.610493937,1.20348051,0.456684326,0.350859046,0.724138615,0.13551867,0.239844697,0.287139555,0.415750346,0.622178488,0.138378917,0
3.386705824,-1.295448437,-0.354108203,5.808323418,11.41360842,-5.299715121,-1.594538309,-0.281310434,-0.526174816,12.83322279,4.258400877,2.835870398,1.912515457,3.061141543,4.655556019,3.208262461,1.904135596,3.574695829,1.982565759,3.838782709,12.483341,0.910294,3.2106,-5.7364,16.95933553,11.61664684,0.322538479,0.448256055,0.67072706,0.542469393,3.088960112,0.74297821,2.107541364,0.574196256,0.561115216,1.06427364,0.411370959,0.572900638,0.145091793,0.510196468,0.16296337,0.047431028,11.63226428,0.708216406,0.225724718,0.769108449,0.602564032,0.532956585,0.2032192,0.382285253,1.719359822,0.468853125,0.276089542,1.170414217,0.490262078,0.254123243,0.350588359,0.424922345,0.161237761,0.369522905,0
3.330137844,-1.00469375,-0.523898828,5.650621063,11.31649357,-5.084536215,-1.854608496,0.063717414,-0.701607707,12.70347134,4.394740072,2.671917558,1.694546337,3.125467725,4.701872086,3.14830546,1.749219736,3.439693549,1.898531193,3.88838906,13.170702,0.621183,2.7823,-5.2004,16.37271298,11.30124213,0.432464498,0.086740661,0.974132462,0.822732098,3.096433789,0.584024174,2.216041923,0.447518971,0.733916565,1.000160801,0.173722281,0.50659925,0.323736609,0.367661943,0.173033605,0.087301395,13.58786595,1.047797656,0.178027707,0.738672506,0.42611376,0.4014066,0.612715567,0.165523101,1.221862544,0.682625322,0.839494109,0.692891296,0.218942811,0.093494116,0.337815992,0.32337859,0.524155945,0.187243377,0
3.251847227,-0.777955859,-0.520858984,5.341696707,11.15249079,-5.147683273,-1.79340668,0.56553273,-0.730173137,12.51959226,4.215000477,2.220711775,1.506825033,2.808132115,4.360058521,2.935473124,1.532027888,3.22491902,1.796289331,3.583911923,12.095894,0.480841,1.9313,-4.3462,16.7932485,10.68339341,0.338623207,0.402980668,0.095314942,0.368909317,2.992113103,0.963510054,1.571987365,0.85963702,0.325226523,0.715789246,0.185145846,0.745799944,0.203452307,0.157610696,0.485353988,0.153355265,10.63352426,1.041717969,0.069249912,0.658221723,0.567161451,0.301316024,0.907312094,0.372296037,0.534213406,0.850059086,0.711340834,0.437031963,0.426639042,0.512010193,0.128664856,0.269102158,0.32896293,0.207932832,0
2.473531227,-1.437454297,-0.295180859,5.423784008,10.34235284,-5.929689406,-1.445948148,-0.612736523,-0.416860605,12.13886632,4.238588241,2.471389741,1.873822292,2.537505897,4.656176276,2.665220808,1.790402705,3.355704517,1.956244445,3.635412804,11.345813,0.663588,3.1268,-5.5912,15.20813602,10.84756802,0.217621862,0.487354555,0.376332918,0.544006614,2.615530419,0.315726931,1.423297148,0.923382057,0.426287228,0.66465764,0.194666893,0.688497224,0.331146983,0.454237146,0.316208089,0.245228076,10.99525896,0.590361719,0.296728871,0.520554158,0.260341351,0.414864811,0.20846287,0.288730754,1.826614577,0.661665794,0.602029535,0.753125777,0.50168845,0.912838743,0.172618587,0.244719136,0.367113347,0.043342015,0
3.248976137,-1.224967578,-0.454241406,5.682758613,10.68936239,-6.285228367,-1.445798531,0.36163668,-0.69080702,12.60881448,4.273328759,2.337245366,2.044781084,2.806094096,4.537483128,3.025438923,1.97062289,3.529236349,2.416324181,3.405577009,13.266793,0.721128,3.1268,-5.5912,15.94499477,11.36551723,0.363048488,0.363514973,0.824310998,0.985708553,2.647171524,0.602896898,1.709387056,0.231456769,0.572547659,1.129076397,0.228077965,0.711191943,0.333692088,0.302675922,0.760294846,0.269316012,12.11970155,0.908482813,0.250675762,0.543629961,0.358650957,0.203896644,0.606201135,0.582872636,2.016634272,0.856182845,0.493571925,0.601474109,0.448905031,0.776828361,0.284506307,0.422474962,0.517129958,0.118501979,0
3.639480059,-1.489114063,-0.434577344,5.895060777,11.58688877,-5.648520352,-1.547252871,-0.197807836,-0.507546238,13.16278132,4.059050182,2.748375489,1.74536068,2.82420432,4.44149506,3.323720661,1.760978789,3.491713921,2.073638267,3.518980454,11.621978,1.150437,2.6516,-5.4429,15.78497213,11.79012155,0.270408956,0.595567039,0.645670403,1.012812552,2.94255696,0.594316544,1.621311007,0.569305653,0.557220714,0.630260003,0.464441168,0.705038042,0.326776143,0.502926513,0.168915562,0.14814026,10.89099697,0.869154688,0.158629364,0.659349672,0.566796355,0.552507991,0.873009341,0.191735581,1.471039638,0.722047009,0.173819196,0.743137772,0.440837883,0.265623415,0.379171578,0.333836823,0.218300133,0.108781777,0
3.25332927,-1.724760547,-0.398210547,6.098489055,11.15787778,-5.956324895,-1.462557984,-0.703679102,-0.533487125,12.86970749,4.637204101,2.738039031,1.708154831,2.905901577,4.99649007,3.111052933,1.722114744,3.652830761,2.185277502,3.898282747,12.977356,0.729465,2.8288,-4.9733,15.83050166,12.19697811,0.591851205,0.486477095,0.445894111,0.606558071,3.08654756,0.750043889,1.496614264,1.076850517,0.913808532,0.700840004,0.322987728,0.463307028,0.405105708,0.284798519,0.02909799,0.102036775,12.01788311,0.796421094,0.180650838,0.673633978,0.634811207,0.259972074,0.745051367,0.649703164,1.196048833,0.281563506,0.69452485,0.627282928,0.740918847,0.399068319,0.020629728,0.445039174,0.50868039,0.299000203,0
2.985603871,-1.342304687,-0.335925,6.008034145,10.57055009,-6.030694797,-1.310376516,-0.231897387,-0.578047941,12.42987629,4.958181671,2.610692307,1.755309818,3.035189425,5.283391852,3.235469891,1.740945266,3.82324302,2.399882187,3.996238261,13.457805,0.729465,3.4083,-5.0435,16.68447435,12.01606829,0.454002991,0.675842401,0.510192943,1.067217712,2.922261639,0.199060806,1.929314851,0.562443826,0.510335922,1.482966769,0.202356167,0.775656038,0.124624532,0.366979413,0.326294989,0.220588552,11.37963552,0.67185,0.279415748,0.63837778,0.453564864,0.482407119,0.47172264,0.211519087,1.307781645,1.076959101,0.549600747,0.767644763,0.301729819,0.465662868,0.157236348,0.505695338,0.509100788,0.083409546,0
